,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,week 13,week 14,week 15,week 16,week 17,week 18,week 19,week 20,week 21,week 22,week 23,week 24,week 25,week 26,week 27,week 28,week 29,week 30
09247XAQ4,200.0,250.0,200.0,150.0,250.0,200.0,200.0,200,150,1000.0,8.0,1000.0,200.0,250.0,150.0,163,250.0,100,100.0,150.0,150.0,200,41,25.0,250.0,150.0,150.0,100.0,250.0,250.0
718172CP2,250.0,200.0,250.0,250.0,250.0,200.0,250.0,150,234,250.0,150.0,250.0,250.0,250.0,150.0,200,250.0,150,150.0,250.0,200.0,250,250,250.0,250.0,234.0,250.0,150.0,100.0,18.0
45167RAG9,150.0,200.0,100.0,150.0,200.0,150.0,100.0,150,200,200.0,150.0,150.0,200.0,200.0,200.0,150,100.0,200,150.0,200.0,150.0,200,200,200.0,150.0,200.0,200.0,200.0,150.0,150.0
09062XAH6,200.0,200.0,33.0,300.0,250.0,300.0,2.0,300,2,250.0,250.0,1000.0,250.0,200.0,250.0,635,300.0,209,949.0,858.0,350.0,250,184,300.0,350.0,2.0,250.0,209.0,250.0,350.0
49271VAJ9,200.0,100.0,250.0,500.0,100.0,150.0,150.0,275,250,500.0,150.0,250.0,250.0,200.0,250.0,275,150.0,200,200.0,250.0,250.0,250,250,150.0,200.0,250.0,200.0,200.0,100.0,200.0
501044DP3,200.0,150.0,250.0,600.0,51.0,150.0,250.0,200,250,250.0,150.0,218.0,200.0,150.0,250.0,50,200.0,200,200.0,250.0,150.0,250,250,250.0,250.0,250.0,250.0,200.0,150.0,200.0
03040WAW5,100.0,2.0,150.0,100.0,150.0,150.0,150.0,250,200,150.0,118.0,200.0,150.0,150.0,150.0,15,150.0,150,200.0,200.0,200.0,150,150,4.0,150.0,200.0,200.0,150.0,200.0,200.0
02209SBJ1,250.0,200.0,150.0,100.0,250.0,50.0,100.0,200,212,250.0,250.0,150.0,100.0,300.0,250.0,200,250.0,200,200.0,40.0,100.0,150,250,150.0,200.0,212.0,100.0,200.0,100.0,50.0
91324PDX7,200.0,200.0,250.0,250.0,250.0,50.0,100.0,300,250,200.0,250.0,250.0,200.0,200.0,250.0,300,300.0,250,250.0,200.0,250.0,250,250,250.0,200.0,250.0,250.0,250.0,300.0,500.0
62944TAF2,20.0,200.0,200.0,150.0,735.0,200.0,100.0,150,150,250.0,150.0,250.0,150.0,250.0,250.0,234,150.0,200,150.0,250.0,200.0,150,250,200.0,200.0,150.0,250.0,200.0,150.0,100.0
294429AS4,8.0,250.0,250.0,200.0,250.0,50.0,250.0,50,100,250.0,150.0,100.0,200.0,125.0,250.0,50,250.0,200,200.0,150.0,200.0,250,250,150.0,200.0,100.0,250.0,200.0,2.0,250.0
893574AP8,150.0,26.0,250.0,50.0,250.0,250.0,26.0,250,150,150.0,250.0,200.0,200.0,200.0,250.0,200,150.0,250,200.0,200.0,250.0,50,150,150.0,200.0,150.0,250.0,250.0,195.0,195.0
824348BL9,150.0,200.0,50.0,880.0,250.0,150.0,100.0,200,50,100.0,200.0,200.0,100.0,200.0,150.0,50,100.0,200,100.0,200.0,150.0,200,200,200.0,150.0,50.0,50.0,200.0,100.0,200.0
017175AE0,150.0,200.0,200.0,150.0,250.0,200.0,100.0,250,150,100.0,250.0,200.0,690.0,100.0,250.0,250,200.0,200,200.0,200.0,150.0,10,200,150.0,150.0,150.0,250.0,200.0,200.0,200.0
009158BC9,157.0,200.0,100.0,250.0,150.0,150.0,100.0,200,250,200.0,150.0,250.0,200.0,200.0,200.0,24,150.0,250,250.0,200.0,200.0,200,151,150.0,2.0,250.0,150.0,250.0,5.0,5.0
68389XBD6,200.0,100.0,250.0,200.0,225.0,38.0,100.0,200,250,150.0,200.0,250.0,100.0,200.0,150.0,150,200.0,100,200.0,250.0,38.0,200,250,150.0,200.0,250.0,150.0,100.0,100.0,65.0
036752AN3,250.0,125.0,250.0,250.0,250.0,250.0,100.0,150,38,250.0,150.0,250.0,1000.0,200.0,250.0,150,150.0,250,350.0,250.0,250.0,250,200,150.0,250.0,38.0,50.0,250.0,150.0,250.0
037389BE2,200.0,250.0,250.0,150.0,250.0,50.0,250.0,150,895,200.0,150.0,150.0,100.0,102.0,250.0,100,150.0,3,250.0,200.0,250.0,150,200,150.0,150.0,895.0,250.0,3.0,50.0,100.0
608190AL8,150.0,150.0,150.0,200.0,100.0,73.0,200.0,150,200,250.0,54.0,154.0,26.0,90.0,150.0,100,200.0,200,104.0,100.0,200.0,100,250,4.0,250.0,200.0,200.0,200.0,250.0,100.0
133131AZ5,200.0,200.0,200.0,200.0,150.0,200.0,150.0,200,250,200.0,150.0,150.0,150.0,150.0,200.0,250,150.0,200,200.0,150.0,150.0,200,200,150.0,200.0,250.0,200.0,200.0,50.0,50.0
98978VAS2,150.0,250.0,150.0,150.0,200.0,100.0,100.0,150,150,27.0,100.0,100.0,200.0,150.0,250.0,150,106.0,150,150.0,150.0,200.0,200,180,250.0,150.0,150.0,250.0,150.0,3.0,150.0
747525BK8,250.0,250.0,250.0,200.0,250.0,74.0,150.0,200,250,250.0,200.0,250.0,74.0,200.0,250.0,200,250.0,300,250.0,250.0,250.0,250,250,779.0,250.0,250.0,200.0,300.0,200.0,300.0
70450YAH6,200.0,200.0,250.0,250.0,250.0,250.0,250.0,250,250,200.0,200.0,250.0,250.0,200.0,250.0,5,250.0,250,168.0,250.0,200.0,250,250,200.0,250.0,250.0,150.0,250.0,100.0,250.0
670346AS4,150.0,200.0,250.0,150.0,150.0,150.0,250.0,200,4,125.0,100.0,100.0,200.0,250.0,150.0,130,200.0,150,150.0,250.0,200.0,250,250,250.0,200.0,4.0,200.0,150.0,250.0,20.0
337738BC1,200.0,150.0,250.0,250.0,250.0,29.0,250.0,150,250,250.0,150.0,200.0,29.0,250.0,250.0,71,250.0,29,150.0,250.0,250.0,250,250,150.0,250.0,250.0,250.0,29.0,100.0,250.0
313747BA4,100.0,50.0,250.0,50.0,50.0,50.0,50.0,250,50,50.0,50.0,250.0,100.0,50.0,250.0,26,50.0,50,50.0,50.0,50.0,50,100,50.0,100.0,50.0,50.0,50.0,100.0,250.0
842400GU1,150.0,200.0,250.0,250.0,100.0,200.0,250.0,150,150,250.0,200.0,200.0,200.0,200.0,200.0,150,150.0,150,200.0,250.0,100.0,250,250,200.0,250.0,150.0,150.0,150.0,100.0,150.0
929160AZ2,150.0,250.0,100.0,30.0,100.0,4.0,100.0,12,100,250.0,250.0,250.0,250.0,150.0,250.0,250,250.0,200,250.0,150.0,150.0,150,200,200.0,150.0,100.0,100.0,200.0,100.0,150.0
487836BX5,187.0,100.0,100.0,200.0,81.0,250.0,187.0,150,187,40.0,150.0,25.0,200.0,200.0,150.0,50,200.0,200,25.0,200.0,100.0,200,150,150.0,200.0,187.0,150.0,200.0,200.0,100.0
26441CBH7,200.0,50.0,250.0,250.0,250.0,50.0,32.0,150,250,250.0,150.0,250.0,18.0,50.0,200.0,1000,150.0,250,250.0,50.0,250.0,150,250,250.0,100.0,250.0,250.0,250.0,200.0,100.0
559080AQ9,7.0,7.0,4.0,100.0,250.0,100.0,200.0,250,100,150.0,150.0,100.0,100.0,150.0,250.0,250,200.0,100,100.0,200.0,100.0,150,8,9.0,150.0,100.0,250.0,100.0,100.0,56.0
65339KBR0,350.0,100.0,25.0,350.0,250.0,350.0,250.0,250,250,300.0,250.0,300.0,350.0,250.0,250.0,250,50.0,250,300.0,250.0,250.0,250,250,250.0,250.0,250.0,250.0,250.0,300.0,50.0
26442EAH3,17.0,35.0,5.0,5.0,100.0,50.0,250.0,50,100,250.0,100.0,250.0,5.0,100.0,100.0,5,5.0,250,50.0,100.0,250.0,100,250,100.0,100.0,100.0,50.0,250.0,100.0,100.0
883203CB5,150.0,150.0,150.0,150.0,150.0,50.0,150.0,150,200,200.0,200.0,150.0,150.0,150.0,200.0,50,200.0,200,150.0,150.0,200.0,150,200,150.0,150.0,200.0,200.0,200.0,150.0,150.0
00846UAM3,200.0,200.0,100.0,100.0,3.0,150.0,250.0,200,200,250.0,200.0,700.0,150.0,150.0,100.0,437,100.0,200,150.0,800.0,200.0,100,550,200.0,150.0,200.0,50.0,200.0,9.0,790.0
78486QAE1,9.0,9.0,9.0,57.0,150.0,150.0,200.0,250,250,150.0,250.0,150.0,150.0,150.0,200.0,200,2.0,200,200.0,200.0,200.0,200,200,150.0,85.0,250.0,200.0,200.0,6.0,9.0
45866FAK0,250.0,250.0,25.0,400.0,250.0,250.0,250.0,200,250,1000.0,250.0,250.0,200.0,250.0,300.0,250,250.0,250,250.0,200.0,250.0,200,250,100.0,250.0,250.0,250.0,250.0,335.0,250.0
31620RAJ4,5.0,5.0,5.0,100.0,600.0,200.0,100.0,100,100,150.0,150.0,250.0,500.0,100.0,150.0,100,150.0,100,200.0,2.0,200.0,100,200,200.0,150.0,100.0,600.0,100.0,5.0,200.0
74251VAS1,200.0,250.0,250.0,150.0,105.0,50.0,250.0,150,2,250.0,290.0,250.0,100.0,150.0,200.0,162,200.0,200,250.0,200.0,200.0,200,250,3.0,200.0,2.0,20.0,200.0,100.0,154.0
29364GAL7,200.0,250.0,250.0,250.0,250.0,100.0,250.0,250,250,250.0,150.0,150.0,250.0,100.0,250.0,250,250.0,250,200.0,600.0,250.0,100,100,200.0,150.0,250.0,250.0,250.0,100.0,60.0
75884RBA0,200.0,185.0,100.0,200.0,250.0,200.0,150.0,200,200,200.0,200.0,200.0,150.0,200.0,200.0,150,185.0,200,150.0,150.0,200.0,150,250,150.0,150.0,200.0,200.0,200.0,85.0,85.0
40434LAC9,150.0,150.0,250.0,250.0,250.0,200.0,250.0,250,250,250.0,40.0,250.0,150.0,250.0,200.0,50,250.0,150,250.0,250.0,200.0,200,250,1500.0,250.0,250.0,50.0,150.0,50.0,200.0
081437AT2,150.0,2.0,250.0,200.0,200.0,50.0,250.0,50,250,150.0,150.0,200.0,200.0,150.0,200.0,50,2.0,200,150.0,150.0,200.0,150,150,150.0,150.0,250.0,50.0,200.0,100.0,200.0
64110DAK0,150.0,200.0,150.0,200.0,2.0,50.0,250.0,250,250,89.0,200.0,150.0,250.0,200.0,250.0,150,150.0,150,150.0,200.0,200.0,250,250,21.0,250.0,250.0,250.0,150.0,50.0,100.0
74834LBB5,150.0,100.0,285.0,30.0,200.0,500.0,100.0,1715,150,150.0,150.0,20.0,150.0,150.0,1785.0,1715,150.0,200,200.0,200.0,150.0,150,150,200.0,200.0,150.0,200.0,200.0,200.0,150.0
776743AJ5,150.0,150.0,100.0,150.0,150.0,100.0,100.0,150,7,250.0,150.0,250.0,150.0,200.0,250.0,250,150.0,200,250.0,250.0,250.0,150,250,200.0,200.0,7.0,250.0,200.0,100.0,100.0
